"Wed, 06 Jun 2018 20:16:24 CEST",1528308984,1434811,0.01581,18,724.81083383,2,17.034076419999998,82,1690.1430883599999,38,2633.213361339999
"Wed, 06 Jun 2018 20:16:27 CEST",1528308987,1434812,0.01581,3,1.70954924,0,0,32,1941.4485472299996,10,282.89211199999994
"Wed, 06 Jun 2018 20:22:56 CEST",1528309376,1434813,0.01582,2,746.50112703,0,0,20,19330.15022869,6,30.52992485
"Wed, 06 Jun 2018 20:24:11 CEST",1528309451,1434814,0.01582,11,360.77564168000004,9,15.050204299999997,89,1745.4428884299996,23,302.22443274
"Wed, 06 Jun 2018 20:24:39 CEST",1528309479,1434815,0.01582,0,0,0,0,0,0,0,0
"Wed, 06 Jun 2018 20:28:58 CEST",1528309738,1434816,0.01581,0,0,0,0,0,0,0,0
"Wed, 06 Jun 2018 20:29:18 CEST",1528309758,1434817,0.01581,0,0,0,0,0,0,0,0
"Wed, 06 Jun 2018 20:30:42 CEST",1528309842,1434818,0.0158,0,0,0,0,0,0,0,0
"Wed, 06 Jun 2018 20:33:16 CEST",1528309996,1434819,0.0158,30,657.8518648,13,74.72570968999999,127,3582.9112103499974,55,7062.806648759998
"Wed, 06 Jun 2018 20:37:59 CEST",1528310279,1434820,0.01581,17,240.44865787000003,5,14.27378267,83,1164.1898976700002,19,92.18123900999998
"Wed, 06 Jun 2018 20:38:04 CEST",1528310284,1434821,0.0158,0,0,0,0,3,1.16536235,1,0.24368915
"Wed, 06 Jun 2018 20:40:01 CEST",1528310401,1434822,0.0158,9,48.69135199,1,1.822572,31,23852.67811173,12,29.672584360000002
"Wed, 06 Jun 2018 20:49:41 CEST",1528310981,1434823,0.0158,23,415.7115064899999,8,315.92638653,137,4808.655919439997,41,463.08065560000006
"Wed, 06 Jun 2018 20:54:11 CEST",1528311251,1434824,0.0158,21,456.74866713,8,628.8890696999999,92,24781.161643910014,24,2171.1158734400005
"Wed, 06 Jun 2018 20:54:28 CEST",1528311268,1434825,0.0158,0,0,1,2.0118534,2,3.55947323,2,4.18186999
